Date,Price,Open,High,Low,Volume,Chg%
12/17/2019,"32,140.25","32,082.40","32,213.35","31,987.35",259.93K,0.52%
12/16/2019,"31,974.20","32,159.00","32,186.95","31,897.75",306.02K,-0.13%
12/13/2019,"32,014.25","31,775.55","32,105.05","31,770.50",390.51K,1.10%
12/12/2019,"31,665.45","31,356.80","31,711.45","31,352.10",529.69K,1.31%
12/11/2019,"31,256.75","31,151.65","31,337.85","30,996.40",815.35K,0.31%
12/10/2019,"31,160.35","31,386.40","31,412.80","31,126.00",505.39K,-0.50%
12/9/2019,"31,316.65","31,321.40","31,537.65","31,122.05",494.48K,-0.08%
12/6/2019,"31,341.55","31,797.15","31,883.70","31,250.65",485.39K,-1.17%
12/5/2019,"31,712.95","32,083.80","32,126.95","31,628.30",393.28K,-0.83%
12/4/2019,"31,979.30","31,549.30","32,017.75","31,444.00",516.80K,1.16%
12/3/2019,"31,613.35","31,920.10","31,936.60","31,502.95",431.51K,-0.81%
12/2/2019,"31,871.45","32,008.30","32,024.10","31,720.60",496.00K,-0.23%
11/29/2019,"31,946.10","32,074.15","32,086.95","31,770.80",667.78K,-0.55%
11/28/2019,"32,122.95","31,981.70","32,157.05","31,905.90",498.31K,0.77%
11/27/2019,"31,875.95","31,832.75","31,916.80","31,734.50",417.57K,0.50%
11/26/2019,"31,718.35","31,692.85","31,850.35","31,465.85",856.69K,0.51%
11/25/2019,"31,555.90","31,065.10","31,591.60","31,049.75",317.31K,1.43%
11/22/2019,"31,111.60","31,389.60","31,394.20","31,055.20",257.77K,-0.76%
11/21/2019,"31,349.95","31,413.25","31,463.15","31,243.00",296.15K,-0.01%
11/20/2019,"31,353.85","31,292.35","31,471.65","31,205.55",419.00K,0.38%
11/19/2019,"31,236.25","31,045.15","31,298.05","30,974.30",429.95K,0.79%
11/18/2019,"30,992.10","31,036.80","31,203.55","30,901.85",331.73K,-0.05%
11/15/2019,"31,008.40","30,912.40","31,165.45","30,860.70",393.95K,0.84%
11/14/2019,"30,749.95","30,615.80","30,789.20","30,338.35",383.31K,0.68%
11/13/2019,"30,541.55","31,084.75","31,198.50","30,488.10",474.51K,-1.84%
11/11/2019,"31,115.55","30,664.65","31,205.20","30,625.80",422.78K,1.19%
11/8/2019,"30,749.40","30,571.30","31,108.40","30,504.05",620.05K,0.38%
11/7/2019,"30,633.15","30,722.60","30,821.35","30,462.55",364.82K,0.08%
11/6/2019,"30,609.60","30,225.20","30,699.00","30,013.65",403.96K,1.29%
11/5/2019,"30,219.85","30,403.25","30,452.70","30,091.35",534.71K,-0.37%
11/4/2019,"30,333.10","30,415.90","30,607.05","30,227.25",613.02K,0.01%
11/1/2019,"30,330.55","30,196.15","30,409.00","30,028.90",646.75K,0.88%
10/31/2019,"30,066.25","30,168.65","30,415.65","29,987.15",1.19M,0.26%
10/30/2019,"29,987.50","30,005.70","30,151.10","29,753.00",448.80K,0.38%
10/29/2019,"29,873.05","29,527.60","29,997.65","29,385.45",567.56K,1.62%
10/25/2019,"29,395.95","29,228.65","29,452.10","28,923.80",632.22K,0.99%
10/24/2019,"29,107.95","29,604.35","29,693.25","28,994.20",439.98K,-1.19%
10/23/2019,"29,459.60","29,478.85","29,643.80","29,214.05",497.77K,0.16%
10/22/2019,"29,411.15","29,416.25","29,690.00","29,231.20",582.22K,1.00%
10/18/2019,"29,120.25","28,954.80","29,249.50","28,864.10",605.17K,0.45%
10/17/2019,"28,989.45","28,596.35","29,049.05","28,487.95",617.85K,1.58%
10/16/2019,"28,538.80","28,689.45","28,759.35","28,305.40",400.38K,-0.06%
10/15/2019,"28,555.10","28,257.85","28,694.85","28,186.25",350.93K,1.32%
10/14/2019,"28,181.95","28,238.50","28,553.40","28,043.25",387.66K,0.50%
10/11/2019,"28,042.50","28,245.55","28,604.05","27,736.80",558.92K,0.10%
10/10/2019,"28,013.45","28,542.95","28,552.75","27,914.15",381.15K,-2.68%
10/9/2019,"28,785.85","27,901.65","28,857.70","27,702.05",574.83K,3.67%
10/7/2019,"27,767.55","27,909.90","28,185.15","27,568.35",554.31K,0.13%
10/4/2019,"27,731.85","28,681.90","28,730.30","27,653.70",732.72K,-2.40%
10/3/2019,"28,414.10","28,606.70","28,769.10","28,240.80",825.76K,-1.08%
10/1/2019,"28,725.50","29,226.15","29,526.40","28,077.35",1.19M,-1.30%
9/30/2019,"29,103.15","29,674.80","29,754.40","28,943.45",580.25K,-2.59%
9/27/2019,"29,876.65","29,974.95","30,112.65","29,711.35",464.10K,-0.42%
9/26/2019,"30,002.60","29,640.55","30,718.35","29,627.00",540.44K,1.41%
9/25/2019,"29,586.05","30,029.05","30,067.60","29,470.10",352.81K,-1.98%
9/24/2019,"30,183.10","30,432.00","30,668.10","29,889.55",348.81K,-1.25%
9/23/2019,"30,566.20","30,039.40","30,801.30","29,776.30",552.17K,5.47%
9/20/2019,"28,981.55","26,878.65","29,418.95","26,727.55",844.58K,8.31%
9/19/2019,"26,757.65","27,175.45","27,175.45","26,643.00",450.44K,-1.53%
9/18/2019,"27,172.65","27,304.70","27,414.45","27,088.80",307.78K,0.15%
9/17/2019,"27,131.75","27,765.10","27,851.40","27,047.95",277.76K,-2.60%
9/16/2019,"27,855.00","27,868.00","28,066.70","27,798.85",234.06K,-0.87%
9/13/2019,"28,098.75","27,772.00","28,126.85","27,573.45",438.50K,1.01%
9/12/2019,"27,818.50","27,870.80","28,062.30","27,764.70",377.82K,0.15%
9/11/2019,"27,776.20","27,639.05","27,829.65","27,551.65",467.42K,0.99%
9/9/2019,"27,504.65","27,240.35","27,565.55","26,993.90",286.11K,0.94%
9/6/2019,"27,247.90","26,986.50","27,311.05","26,950.55",251.99K,1.22%
