,Date,Last Close Price,Open,High,Low,Volume,Percentage Changes,Events
152,"Jul 03, 2019",276.70,274.30,277.55,272.15,18.12M,1.04%,
153,"Jul 02, 2019",273.85,275.35,275.65,273.20,9.98M,-0.40%,
154,"Jul 01, 2019",274.95,274.40,276.25,274.15,5.04M,0.40%,
155,"Jun 28, 2019",273.85,274.10,275.45,272.50,8.45M,0.13%,
156,"Jun 27, 2019",273.50,277.95,278.20,272.80,23.31M,-1.41%,
157,"Jun 26, 2019",277.40,278.45,278.70,276.35,7.42M,-0.39%,
158,"Jun 25, 2019",278.50,275.05,280.00,274.25,12.38M,0.81%,
159,"Jun 24, 2019",276.25,274.25,277.50,274.25,8.94M,0.73%,
160,"Jun 21, 2019",274.25,276.65,276.65,273.25,18.60M,-0.99%,
161,"Jun 20, 2019",277.00,277.00,277.95,275.35,10.57M,-0.07%,
162,"Jun 19, 2019",277.20,275.70,278.90,275.60,9.05M,0.76%,
163,"Jun 18, 2019",275.10,276.15,277.85,274.00,13.85M,0.04%,
164,"Jun 17, 2019",275.00,278.85,278.85,274.45,10.01M,-1.10%,
165,"Jun 14, 2019",278.05,280.50,280.50,277.15,7.91M,-0.91%,
166,"Jun 13, 2019",280.60,278.90,281.35,278.55,7.20M,0.23%,
167,"Jun 12, 2019",279.95,281.40,281.40,278.25,8.25M,0.04%,
168,"Jun 11, 2019",279.85,280.90,281.40,279.20,8.46M,0.16%,
169,"Jun 10, 2019",279.40,278.30,280.55,276.90,8.62M,1.51%,
170,"Jun 07, 2019",275.25,276.80,276.80,274.20,7.70M,-0.18%,
171,"Jun 06, 2019",275.75,280.40,280.40,275.30,10.66M,-1.25%,
172,"Jun 04, 2019",279.25,279.25,282.15,278.80,13.85M,0.25%,
173,"Jun 03, 2019",278.55,281.40,281.50,275.30,19.57M,0.00%,
174,"May 31, 2019",278.55,289.35,291.50,277.45,26.28M,-3.50%,
175,"May 30, 2019",288.65,289.00,291.05,288.30,8.66M,0.19%,
176,"May 29, 2019",288.10,288.80,291.70,287.60,7.26M,-0.28%,
177,"May 28, 2019",288.90,291.80,292.00,288.10,15.60M,-0.67%,
178,"May 27, 2019",290.85,291.25,293.55,289.05,9.02M,0.14%,
179,"May 24, 2019",290.45,291.50,291.65,287.30,10.88M,0.78%,
180,"May 23, 2019",288.20,305.00,305.60,287.00,31.38M,-3.85%,
181,"May 22, 2019",299.75,302.15,302.80,296.80,13.74M,-2.01%,D
182,"May 21, 2019",305.90,307.00,310.00,305.30,10.52M,-0.36%,
183,"May 20, 2019",307.00,306.85,307.55,302.10,11.01M,1.86%,
184,"May 17, 2019",301.40,295.10,302.35,295.10,11.19M,2.26%,
185,"May 16, 2019",294.75,297.00,297.00,293.25,7.35M,-0.77%,
186,"May 15, 2019",297.05,297.55,299.30,292.00,17.89M,0.92%,
187,"May 14, 2019",294.35,291.00,298.25,288.85,21.15M,1.75%,
188,"May 13, 2019",289.30,295.10,303.50,287.70,35.88M,-2.84%,E
189,"May 10, 2019",297.75,300.00,300.45,296.90,6.90M,-0.70%,
190,"May 09, 2019",299.85,299.40,301.30,296.35,10.22M,-0.27%,
191,"May 08, 2019",300.65,300.00,303.40,298.65,7.88M,-0.41%,
192,"May 07, 2019",301.90,308.25,309.50,300.85,8.66M,-1.66%,
193,"May 06, 2019",307.00,304.00,307.50,300.75,6.74M,0.90%,
194,"May 03, 2019",304.25,304.25,307.45,303.30,5.89M,-0.25%,
195,"May 02, 2019",305.00,301.10,306.50,300.60,7.49M,1.21%,
196,"Apr 30, 2019",301.35,304.55,307.55,299.50,11.16M,-1.05%,
197,"Apr 26, 2019",304.55,304.60,306.40,302.55,4.65M,0.13%,
198,"Apr 25, 2019",304.15,307.25,309.80,302.00,23.24M,-0.75%,
199,"Apr 24, 2019",306.45,303.40,307.20,298.50,11.45M,1.01%,
200,"Apr 23, 2019",303.40,302.15,304.80,301.55,7.50M,0.53%,
201,"Apr 22, 2019",301.80,303.85,305.50,301.05,6.67M,-0.85%,
202,"Apr 18, 2019",304.40,308.25,308.25,303.55,8.84M,-0.91%,
203,"Apr 16, 2019",307.20,306.80,309.95,306.15,9.75M,0.56%,
204,"Apr 15, 2019",305.50,307.90,310.00,304.35,12.61M,-0.08%,
205,"Apr 12, 2019",305.75,296.65,307.40,295.60,21.82M,3.15%,
206,"Apr 11, 2019",296.40,294.55,297.45,293.00,10.76M,0.58%,
207,"Apr 10, 2019",294.70,296.05,296.55,293.50,5.33M,-0.54%,
208,"Apr 09, 2019",296.30,292.50,296.70,292.25,6.18M,1.21%,
209,"Apr 08, 2019",292.75,294.65,295.00,291.70,5.29M,-0.61%,
210,"Apr 05, 2019",294.55,295.05,296.40,292.65,7.81M,-0.08%,
211,"Apr 04, 2019",294.80,296.00,297.30,293.75,6.97M,-0.46%,
212,"Apr 03, 2019",296.15,298.00,299.00,295.15,9.06M,-0.59%,
213,"Apr 02, 2019",297.90,297.40,300.00,294.65,9.85M,0.22%,
214,"Apr 01, 2019",297.25,297.00,299.20,296.55,6.20M,0.00%,
215,"Mar 29, 2019",297.25,302.00,303.00,295.45,11.91M,-0.92%,
216,"Mar 28, 2019",300.00,294.10,302.00,293.00,17.75M,2.35%,
217,"Mar 27, 2019",293.10,294.00,296.70,291.60,8.43M,-0.10%,
218,"Mar 26, 2019",293.40,295.00,296.35,291.05,10.76M,-0.56%,
